highest,monthYear,count,country
Community,2011-05-01,1116,Total
Community,2011-06-01,338,Total
Community,2011-07-01,56,Total
Community,2011-08-01,46,Total
Community,2011-09-01,52,Total
Community,2011-10-01,137,Total
Community,2011-11-01,133,Total
Community,2011-12-01,73,Total
Community,2012-01-01,142,Total
Community,2012-02-01,76,Total
Community,2012-03-01,73,Total
Community,2012-04-01,67,Total
Community,2012-05-01,1375,Total
Community,2012-06-01,564,Total
Community,2012-07-01,279,Total
Community,2012-08-01,292,Total
Community,2012-09-01,308,Total
Community,2012-10-01,376,Total
Community,2012-11-01,348,Total
Community,2012-12-01,246,Total
Community,2013-01-01,245,Total
Community,2013-02-01,268,Total
Community,2013-03-01,367,Total
Community,2013-04-01,265,Total
Community,2013-05-01,3417,Total
Community,2013-06-01,1624,Total
Community,2013-07-01,239,Total
Community,2013-08-01,319,Total
Community,2013-09-01,466,Total
Community,2013-10-01,494,Total
Community,2013-11-01,696,Total
Community,2013-12-01,224,Total
Community,2014-01-01,997,Total
Community,2014-02-01,511,Total
Community,2014-03-01,559,Total
Community,2014-04-01,515,Total
Community,2014-05-01,1159,Total
Community,2014-06-01,491,Total
Community,2014-07-01,379,Total
Community,2014-08-01,1485,Total
Community,2014-09-01,391,Total
Community,2014-10-01,543,Total
Community,2014-11-01,358,Total
Community,2014-12-01,301,Total
Community,2015-01-01,365,Total
Community,2015-02-01,405,Total
Community,2015-03-01,571,Total
Community,2015-04-01,324,Total
Community,2015-05-01,330,Total
Community,2015-06-01,533,Total
Community,2015-07-01,278,Total
Community,2015-08-01,180,Total
Community,2015-09-01,72,Total
Education,2011-05-01,1724,Total
Education,2011-06-01,463,Total
Education,2011-07-01,100,Total
Education,2011-08-01,69,Total
Education,2011-09-01,97,Total
Education,2011-10-01,248,Total
Education,2011-11-01,225,Total
Education,2011-12-01,138,Total
Education,2012-01-01,226,Total
Education,2012-02-01,154,Total
Education,2012-03-01,134,Total
Education,2012-04-01,96,Total
Education,2012-05-01,2294,Total
Education,2012-06-01,929,Total
Education,2012-07-01,467,Total
Education,2012-08-01,537,Total
Education,2012-09-01,513,Total
Education,2012-10-01,603,Total
Education,2012-11-01,540,Total
Education,2012-12-01,438,Total
Education,2013-01-01,438,Total
Education,2013-02-01,405,Total
Education,2013-03-01,623,Total
Education,2013-04-01,409,Total
Education,2013-05-01,6026,Total
Education,2013-06-01,2790,Total
Education,2013-07-01,382,Total
Education,2013-08-01,525,Total
Education,2013-09-01,782,Total
Education,2013-10-01,874,Total
Education,2013-11-01,1162,Total
Education,2013-12-01,391,Total
Education,2014-01-01,2012,Total
Education,2014-02-01,874,Total
Education,2014-03-01,959,Total
Education,2014-04-01,978,Total
Education,2014-05-01,2213,Total
Education,2014-06-01,1069,Total
Education,2014-07-01,670,Total
Education,2014-08-01,2820,Total
Education,2014-09-01,731,Total
Education,2014-10-01,937,Total
Education,2014-11-01,631,Total
Education,2014-12-01,546,Total
Education,2015-01-01,731,Total
Education,2015-02-01,790,Total
Education,2015-03-01,1422,Total
Education,2015-04-01,630,Total
Education,2015-05-01,687,Total
Education,2015-06-01,1141,Total
Education,2015-07-01,493,Total
Education,2015-08-01,354,Total
Education,2015-09-01,164,Total
Environment,2011-05-01,1541,Total
